image_link,title,author
https://img1.od-cdn.com/ImageType-400/0887-1/B93/4AE/53/%7BB934AE53-3730-45C3-BA0C-6CF14F0FDF52%7DImg400.jpg,The Idiot,Fyodor Dostoevsky
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420585954l/23692271.jpg,Sapiens,Yuval Noah Harari 
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436202607l/3735293._SX318_.jpg,Clean Code,Rober C. Martin
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327861115l/8664353.jpg,Unbroken,Laura Hillenbrand
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354683116l/16158542.jpg,The Boys in the Boat,Daniel James Brown
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328758088l/6725934.jpg,Piloting & Seamanship,Charles B. Husick
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403186979l/22512931.jpg,Building Microservices,Sam Newman
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427384717l/23546676.jpg,Digital Gold,Nathaniel Popper
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348375990l/955406.jpg,Exceptional C++,Herb Sutter
,Teach Yourself Oracle8 Database Development in 21 Days,David Lockman
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388176541l/852337.jpg,Beginning DirectX 10 Game Programming,Wendy Jones
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396837641l/4845.jpg,Code Complete,Steve McConnell
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545233254l/205816._SX318_.jpg,Hacking Exposed: Network Security Secrets & Solutions,"Joel Scambray, Stuart McClure, George Kurtz"
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389749260l/2042297.jpg,Tricks of the Windows Game Programming Gurus: Fundamentals of 2D and 3D Game Programming,Andre LeMothe
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348573855l/760789.jpg,Software Security: Building Security in,Gary McGraw
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347570299l/1316846.jpg,Building Secure Software: How to Avoid Security Problems the Right Way,"John Viega, Gary McGraw"
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328828807l/1660863.jpg,Software Requirement Patterns,Stephen Withall
https://covers.openlibrary.org/w/id/135472-L.jpg,The Indispensable Guide to C,Paul Davies
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348994205l/610246.jpg,C++ Standard Library: A Tutorial and Reference,Nicolai M. Josuttis
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347400993l/112251.jpg,The C++ Programming Language,Bjarne Stroustrup
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348261809l/105125.jpg,Effective C++: 55 Specific Ways to Improve Your Programs and Designs,Scott Meyers
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348570570l/127930.jpg,Effective Java,Joshua Bloch
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349044077l/127932.jpg,Java Concurrency In Practice,Brian Goetz
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441834930l/25707092._SX318_.jpg,Cracking the Coding Interview,Gayle Laakmann McDowell
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369154300l/17219668.jpg,Ace the Programming Interview,Edward Guiness
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368886017l/17809497.jpg,Algortihms Unlocked,Thomas H Cormen
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290l/13079982.jpg,Fahrenheit 451,Ray Bradbury
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466865542l/18144590._SY475_.jpg,The Alchemist,Paulo Coelho
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320769199l/894862.jpg,All Quiet on the Western Front,Erich Maria Remarque
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507050862l/13130873._SY475_.jpg,Atlas Shrugged,Ayn Rand
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383352779l/18213403.jpg,No Place to Hide,Glenn Greenwald
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317l/168668.jpg,Catch 22,Joseph Heller
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426093936l/24724602.jpg,Flash Boys,Michael Lewis
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474988022l/5941033.jpg,Let the Great World Spin,Colum McCann
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344684768l/13228621.jpg,Hadoop: The Definitive Guide,Tom White
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418769446l/21820378.jpg,Mastering Bitcoin,Andreas M. Antonopoulos